All-Genes	Product	Pathways of gene	Accession-1
moeB	molybdopterin biosynthesis protein MoeB	molybdenum cofactor biosynthesis	E2348C_0777
mogA	molybdenum cofactor biosynthesis protein MogA		E2348C_0009
mokC1	regulatory protein MokC for HokC 1		E2348C_0016
mokC2	regulatory protein MokC for HokC 2		E2348C_0482
motA	flagellar motor protein MotA		E2348C_2013
motB	flagellar motor protein MotB		E2348C_2012
mpaA	murein peptide amidase A	muropeptide degradation	E2348C_1519
mpc	regulator Mpc		E2348C_3950
mpl	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	anhydromuropeptides recycling	E2348C_4559
mppA	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit		E2348C_1523
mprA	transcriptional repressor MprA		E2348C_2948
mqo	malate:quinone oxidoreductase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle I (prokaryotic)"" // ""TCA cycle III (helicobacter)"""	E2348C_2355
mraW	S-adenosyl-methyltransferase MraW		E2348C_0087
mraY	phospho-N-acetylmuramoyl-pentapeptide- transferase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"""	E2348C_0092
mraZ	cell division protein MraZ		E2348C_0086
mrcA	peptidoglycan synthetase	peptidoglycan biosynthesis III (mycobacteria)	E2348C_3640
mrcB	penicillin-binding protein 1b		E2348C_0152
mrdA	penicillin-binding protein 2		E2348C_0535
mrdB	cell wall shape-determining protein		E2348C_0534
mreB	rod shape-determining protein MreB		E2348C_3522
mreC	rod shape-determining protein MreC		E2348C_3521
mreD	rod shape-determining protein MreD		E2348C_3520
mrp	ATPase		E2348C_2259
msbA	lipid transporter ATP-binding protein/permease		E2348C_0907
mscL	large-conductance mechanosensitive channel		E2348C_3553
mscS	mechanosensitive channel MscS		E2348C_3171
msrA	methionine sulfoxide reductase A		E2348C_4549
msrB	methionine sulfoxide reductase B		E2348C_1905
msyB	hypothetical protein		E2348C_1142
mtfA	hypothetical protein		E2348C_2085
mtgA	monofunctional biosynthetic peptidoglycan transglycosylase	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	E2348C_3487
mtlA	fused mannitol-specific PTS enzymes: IIA components /IIB components/IIC components		E2348C_3845
mtlD	mannitol-1-phosphate 5-dehydrogenase	mannitol degradation I	E2348C_3846
mtlR	mannitol repressor protein		E2348C_3847
mtr	tryptophan permease		E2348C_3442
mukB	cell division protein MukB		E2348C_0917
mukE	condesin subunit E		E2348C_0916
mukF	condesin subunit F		E2348C_0915
murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348C_3468
murB	UDP-N-acetylenolpyruvoylglucosamine reductase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348C_4284
murC	UDP-N-acetylmuramate--L-alanine ligase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348C_0096
murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348C_0093
murE	"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase"	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348C_0090
murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348C_0091
murG	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"""	E2348C_0095
murI	glutamate racemase	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // ""peptidoglycan biosynthesis III (mycobacteria)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-DAP-containing)"""	E2348C_4283
murP	PTS system N-acetylmuramic acid transporter subunit IIBC		E2348C_2614
murQ	N-acetylmuramic acid 6-phosphate etherase	anhydromuropeptides recycling	E2348C_2613
mutH	DNA mismatch repair protein		E2348C_3101
mutL	DNA mismatch repair protein		E2348C_4493
mutM	formamidopyrimidine-DNA glycosylase		E2348C_3883
mutS	DNA mismatch repair protein MutS		E2348C_2999
mutT	nucleoside triphosphate pyrophosphohydrolase	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)"" // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II"""	E2348C_0104
mutY	adenine DNA glycosylase		E2348C_3214
mvpA	plasmid maintenance protein		E2348_P1_044
mvpT	post-segregational killing toxin		E2348_P1_043
nac	nitrogen assimilation transcriptional regulator		E2348C_2122
nadA	quinolinate synthetase	NAD biosynthesis I (from aspartate)	E2348C_0627
nadB	L-aspartate oxidase	NAD biosynthesis I (from aspartate)	E2348C_2851
nadC	quinolinate phosphoribosyltransferase	"NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde // ""NAD biosynthesis I (from aspartate)"""	E2348C_0112
nadD	nicotinic acid mononucleotide adenylyltransferase	"NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde // ""NAD biosynthesis I (from aspartate)"" // ""NAD salvage pathway I"""	E2348C_0539
nadE	NAD synthetase	"NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde // ""NAD biosynthesis I (from aspartate)"" // ""NAD salvage pathway I"""	E2348C_1868
nadR	nicotinamide-nucleotide adenylyltransferase	"NAD salvage pathway II // ""NAD salvage pathway III"""	E2348C_4688
nagA	N-acetylglucosamine-6-phosphate deacetylase	"D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation // ""<i>N</i>-acetylglucosamine degradation II"" // ""superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"" // ""anhydromuropeptides recycling"" // ""<i>N</i>-acetylglucosamine degradation I"""	E2348C_0559
nagB	glucosamine-6-phosphate deaminase	"<i>N</i>-acetylglucosamine degradation II // ""superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"" // ""<i>N</i>-acetylglucosamine degradation I"""	E2348C_0560
nagC	"DNA-binding transcriptional dual regulator, repressor of the N-acetylglucosamine operon"		E2348C_0558
nagD	UMP phosphatase	"urate biosynthesis/inosine 5'-phosphate degradation // ""guanosine nucleotides degradation III"" // ""purine nucleotides degradation II (aerobic)"" // ""adenosine nucleotides degradation II"""	E2348C_0557
nagE	PTS system N-acetyl glucosamine specific transporter subunit IIABC		E2348C_0561
nagK	N-acetyl-D-glucosamine kinase	<i>N</i>-acetylglucosamine degradation II	E2348C_1211
nagZ	beta-hexosaminidase	"chitin degradation II // ""anhydromuropeptides recycling"""	E2348C_1199
nanA	N-acetylneuraminate lyase	"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation // ""<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation"""	E2348C_3497
nanC	N-acetylnuraminic acid outer membrane channel protein		E2348C_4618
nanE	N-acetylmannosamine-6-phosphate 2-epimerase	"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation // ""<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation"""	E2348C_3495
nanK	N-acetylmannosamine kinase	"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation // ""<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation"""	E2348C_3494
nanR	transcriptional regulator NanR		E2348C_3498
nanT	sialic acid transporter		E2348C_3496
napA	nitrate reductase catalytic subunit	"nitrate reduction V (assimilatory) // ""nitrate reduction VII (denitrification)"" // ""nitrate reduction I (denitrification)"" // ""nitrate reduction VIII (dissimilatory)"" // ""nitrate reduction III (dissimilatory)"" // ""nitrate reduction IV (dissimilatory)"""	E2348C_2350
napB	citrate reductase cytochrome c-type subunit		E2348C_2347
napC	cytochrome c-type protein NapC		E2348C_2346
napD	assembly protein for periplasmic nitrate reductase		E2348C_2351
napF	ferredoxin-type protein		E2348C_2352
napG	quinol dehydrogenase periplasmic component		E2348C_2349
napH	quinol dehydrogenase membrane component		E2348C_2348
narG	nitrate reductase 1 subunit alpha	"nitrate reduction V (assimilatory) // ""nitrate reduction VII (denitrification)"" // ""nitrate reduction I (denitrification)"" // ""nitrate reduction VIII (dissimilatory)"" // ""nitrate reduction III (dissimilatory)"" // ""nitrate reduction IV (dissimilatory)"""	E2348C_1348
narH	"nitrate reductase 1 subunit, beta (Fe-S)"	"nitrate reduction V (assimilatory) // ""nitrate reduction VII (denitrification)"" // ""nitrate reduction I (denitrification)"" // ""nitrate reduction VIII (dissimilatory)"" // ""nitrate reduction III (dissimilatory)"" // ""nitrate reduction IV (dissimilatory)"""	E2348C_1349
narI	nitrate reductase 1 subunit gamma (cytochrome b(NR))		E2348C_1351
narJ	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1		E2348C_1350
narK	nitrate/nitrite transporter		E2348C_1347
narL	transcriptional regulator NarL		E2348C_1345
narP	transcriptional regulator NarP		E2348C_2337
narQ	nitrate/nitrite sensor protein NarQ		E2348C_2703
narU	nitrate/nitrite transporter		E2348C_1606
narV	"nitrate reductase 2 (NRZ), gamma subunit"	"nitrate reduction V (assimilatory) // ""nitrate reduction VII (denitrification)"" // ""nitrate reduction I (denitrification)"" // ""nitrate reduction VIII (dissimilatory)"" // ""nitrate reduction III (dissimilatory)"" // ""nitrate reduction IV (dissimilatory)"""	E2348C_1602
narW	"nitrate reductase 2 (NRZ), delta subunit (assembly subunit)"		E2348C_1603
narX	nitrate/nitrite sensor protein NarX		E2348C_1346
narY	"nitrate reductase 2 (NRZ), beta subunit"	"nitrate reduction V (assimilatory) // ""nitrate reduction VII (denitrification)"" // ""nitrate reduction I (denitrification)"" // ""nitrate reduction VIII (dissimilatory)"" // ""nitrate reduction III (dissimilatory)"" // ""nitrate reduction IV (dissimilatory)"""	E2348C_1604
narZ	"nitrate reductase 2 (NRZ), alpha subunit"	"nitrate reduction V (assimilatory) // ""nitrate reduction VII (denitrification)"" // ""nitrate reduction I (denitrification)"" // ""nitrate reduction VIII (dissimilatory)"" // ""nitrate reduction III (dissimilatory)"" // ""nitrate reduction IV (dissimilatory)"""	E2348C_1605
ndh	respiratory NADH dehydrogenase 2/cupricreductase		E2348C_1201
ndk	nucleoside diphosphate kinase	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II // ""CMP phosphorylation"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of pyrimidine deoxyribonucleoside salvage"" // ""pyrimidine deoxyribonucleotide phosphorylation"" // ""purine deoxyribonucleosides salvage"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)"" // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"" // ""guanosine ribonucleotides <i>de novo</i> biosynthesis"" // ""ppGpp biosynthesis"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of pyrimidine nucleobases salvage"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""UTP and CTP <i>de novo</i> biosynthesis"""	E2348C_2801
nei	endonuclease VIII		E2348C_0597
nemA	N-ethylmaleimide reductase		E2348C_1737
nepI	ribonucleoside transporter		E2348C_3977
nfi	endonuclease V		E2348C_4305
nfo	endonuclease IV		E2348C_2305
nfrA	"bacteriophage N4 receptor, outer membrane subunit"		E2348C_0468
nfrB	bacteriophage N4 adsorption protein B		E2348C_0469
nfsA	nitroreductase A		E2348C_0848
nfsB	dihydropteridine reductase	phenylalanine degradation I (aerobic)	E2348C_0478
nhaA	pH-dependent sodium/proton antiporter		E2348C_0021
nhaB	sodium/proton antiporter		E2348C_1305
nhaR	transcriptional activator NhaR		E2348C_0022
nhoA	N-hydroxyarylamine O-acetyltransferase		E2348C_1600
nikA	nickel transporter subunit		E2348C_3717
nikB	nickel transporter permease NikB		E2348C_3718
nikC	nickel transporter permease NikC		E2348C_3719
nikD	nickel transporter ATP-binding protein NikD		E2348C_3720
nikE	nickel transporter ATP-binding protein NikE		E2348C_3721
nikR	nickel responsive regulator		E2348C_3722
nirB	"nitrite reductase, large subunit, NAD(P)H-binding"		E2348C_3615
nirC	nitrite transporter NirC		E2348C_3617
nirD	nitrite reductase small subunit	"nitrate reduction V (assimilatory) // ""nitrate reduction VII (denitrification)"" // ""nitrate reduction I (denitrification)"" // ""nitrifier denitrification"" // ""intra-aerobic nitrite reduction"" // ""nitrate reduction IV (dissimilatory)"""	E2348C_3616
nlpA	hypothetical protein		E2348C_3975
nlpB	lipoprotein		E2348C_2714
nlpC	lipoprotein		E2348C_1793
nlpD	lipoprotein NlpD		E2348C_3012
nlpE	lipoprotein involved with copper homeostasis and adhesion		E2348C_0198
nlpI	lipoprotein NlpI		E2348C_3444
norR	anaerobic nitric oxide reductase transcriptional regulator		E2348C_2966
norV	anaerobic nitric oxide reductase flavorubredoxin	"nitrate reduction I (denitrification) // ""nitrifier denitrification"""	E2348C_2967
norW	nitric oxide reductase	"nitrate reduction I (denitrification) // ""nitrifier denitrification"" // ""nitrate reduction VII (denitrification)"""	E2348C_2968
npr	phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system (Npr)		E2348C_3485
nrdA	ribonucleotide-diphosphate reductase subunit alpha	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)"" // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"""	E2348C_2378
nrdB	ribonucleotide-diphosphate reductase subunit beta	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)"" // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"""	E2348C_2379
nrdD	anaerobic ribonucleoside triphosphate reductase	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli) // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"""	E2348C_4564
nrdE	ribonucleotide-diphosphate reductase subunit alpha	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)"" // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"""	E2348C_2940
nrdF	ribonucleotide-diphosphate reductase subunit beta	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)"" // ""pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of histidine, purine, and pyrimidine biosynthesis"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I"" // ""guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II"""	E2348C_2941
nrdG	anaerobic ribonucleotide reductase-activating protein		E2348C_4563
nrdH	glutaredoxin-like protein		E2348C_2938
nrdI	ribonucleotide reductase stimulatory protein		E2348C_2939
nrdR	transcriptional regulator NrdR		E2348C_0348
nrfA	cytochrome c552		E2348C_4393
nrfB	cytochrome c nitrite reductase pentaheme subunit		E2348C_4394
nrfC	"formate-dependent nitrite reductase NrfC, 4Fe4S subunit"		E2348C_4395
nrfD	formate-dependent nitrite reductase complex subunit NrfD		E2348C_4396
nrfE	heme lyase subunit NrfE		E2348C_4397
nrfF	formate-dependent nitrite reductase complex subunit NrfF		E2348C_4398
nrfG	formate-dependent nitrite reductase complex subunit NrfG		E2348C_4399
nsrR	transcriptional repressor NsrR		E2348C_4501
nth	endonuclease III		E2348C_1720
ntpA	dATP pyrophosphohydrolase	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"""	E2348C_1990
nudC	NADH pyrophosphatase	"NAD salvage pathway I // ""NAD salvage pathway II"""	E2348C_4303
nudE	ADP-ribose diphosphatase NudE		E2348C_3641
nudF	ADP-ribose pyrophosphatase		E2348C_3329
nudG	pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase		E2348C_1887
nudH	dinucleoside polyphosphate hydrolase		E2348C_3099
nudI	NUDIX hydrolase		E2348C_2395
nudJ	bifunctional thiamin pyrimidine pyrophosphate hydrolase/thiamin pyrophosphate hydrolase		E2348C_1275
nudK	NUDIX hydrolase		E2348C_2701
nudL	hypothetical protein		E2348C_1936
nuoA	NADH dehydrogenase subunit A	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2428
nuoB	NADH dehydrogenase subunit B	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2427
nuoC	bifunctional NADH:ubiquinone oxidoreductase subunit C/D	"NADH to dimethyl sulfoxide electron transfer // ""NADH to trimethylamine <i>N</i>-oxide electron transfer"" // ""nitrate reduction VIII (dissimilatory)"" // ""NADH to fumarate electron transfer"" // ""aerobic respiration (cytochrome c)"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2426
nuoE	NADH dehydrogenase subunit E	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2425
nuoF	NADH dehydrogenase I subunit F	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2424
nuoG	NADH dehydrogenase subunit G	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2423
nuoH	NADH dehydrogenase subunit H	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2422
nuoI	NADH dehydrogenase subunit I	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2421
nuoJ	NADH dehydrogenase subunit J	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2420
nuoK	NADH dehydrogenase subunit K	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2419
nuoL	NADH dehydrogenase subunit L	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2418
nuoM	NADH dehydrogenase subunit M	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2417
nuoN	NADH dehydrogenase subunit N	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_2416
nupC	nucleoside (except guanosine) transporter		E2348C_2585
nupG	nucleoside transporter		E2348C_3217
nupX	nucleoside transporter		E2348C_2307
nusA	transcription elongation factor NusA		E2348C_3450
nusB	transcription antitermination protein NusB		E2348C_0351
nusG	transcription antitermination protein NusG		E2348C_4289
obgE	GTPase ObgE		E2348C_3462
ogt	O-6-alkylguanine-DNA:cysteine-protein methyltransferase		E2348C_1528
ompA	outer membrane protein A		E2348C_0943
ompC	outer membrane porin protein C		E2348C_2360
ompF	outer membrane protein F		E2348C_0922
ompG	outer membrane porin OmpG		E2348C_1512
ompN	"outer membrane pore protein N, non-specific"		E2348C_1538
ompR	osmolarity response regulator		E2348C_3650
ompT	outer membrane protease		E2348C_0466
ompW	outer membrane protein W		E2348C_1383
ompX	outer membrane protein X		E2348C_0766
omrA	"sRNA, down regulates OM proteins; positively regulated by OmpR/EnvZ; binds Hfq"		E2348C_ncR47
omrB	"sRNA, down regulates OM proteins; positively regulated by OmpR/EnvZ; binds Hfq"		E2348C_ncR48
oppA	oligopeptide transporter subunit OppA		E2348C_1369
oppB	oligopeptide transporter permease		E2348C_1370
oppC	oligopeptide transporter subunit OppC		E2348C_1371
oppD	oligopeptide ABC transporter ATP-binding protein		E2348C_1372
oppF	"oligopeptide transporter subunit OppF, ATP-binding component of ABC superfamily"		E2348C_1373
orn	oligoribonuclease		E2348C_4488
osmB	lipoprotein		E2348C_1475
osmC	"osmotically inducible, stress-inducible membrane protein"		E2348C_1616
osmE	DNA-binding transcriptional activator OsmE		E2348C_1867
osmF	transporter subunit: periplasmic-binding component of ABC superfamily		E2348C_2278
osmY	hypothetical protein		E2348C_4673
otsA	trehalose-6-phosphate synthase	trehalose biosynthesis I	E2348C_2017
otsB	trehalose-6-phosphate phosphatase	trehalose biosynthesis I	E2348C_2018
oxc	oxalyl-CoA decarboxylase	"oxalate degradation III // ""oxalate degradation II"""	E2348C_2566
oxyR	DNA-binding transcriptional regulator OxyR		E2348C_4275
oxyS	OxyS sRNA activates genes that detoxifyoxidative damage		E2348C_ncR68
pabA	para-aminobenzoate synthase component II	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""4-aminobenzoate biosynthesis"""	E2348C_3610
pabB	aminodeoxychorismate synthase subunit I	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""4-aminobenzoate biosynthesis"""	E2348C_1935
pabC	4-amino-4-deoxychorismate lyase	"superpathway of chorismate metabolism // ""superpathway of tetrahydrofolate biosynthesis"" // ""4-aminobenzoate biosynthesis"""	E2348C_1188
pagB	hypothetical protein		E2348C_4338
pagP	palmitoyl transferase		E2348C_0523
pal	peptidoglycan-associated outer membrane lipoprotein		E2348C_0625
